WorkOrderID,EvalQuestTxt,EvalQuestValTxt,LocationName,City,State,SignDate,JobID,JobCategoryID,ProgramType,CustomerName,PrimaryTechnicianID,DistrictName,WOStatusID,Revenue,Expense,GP,Column1
240423-230,Additional Comments on Work Provided:,branch manager not available,Bank of America MO8-208,INDEPENDENCE,MO,2024-05-01 18:08:06,HXX1600,LRM,GMRLE,Cushman&Wakefield / BOA,BDale,District 8,POSTED,228,-153.41,74.59,
240412-110,Additional Comments on Work Provided:,Work already completed,Caleres 63563,ALTOONA,IA,2024-05-07 21:45:33,SXX1021,LBR,LI,EMCOR / Caleres,KEhrich,,POSTED,293,-349.75,-56.75,
240429-084,Additional Comments on Work Provided:,GBrutvan,District New York New York,HYDE PARK,NY,2024-05-03 00:18:16,SXX0022,EBR,TIC,ROGERS ELECTRIC IN HOUSE BILLI,GBrutvan,District 1,CLOSED,0,0,0,
240511-056,If NO - Please Specify,Work not finished,Sams Club 4879,AIKEN,SC,2024-05-24 18:11:53,SXX1023,LBR,LI,Sams Club,MKeeney,District 3,HDPRTC,0,-111.61,-111.61,
240502-027,Additional Comments on Work Provided:,Team was great and very professional,TJ MAXX 1081388,Denham Springs,LA,2024-05-15 12:39:23,SXX0024,EBR,TJXUPS,"THE TJX COMPANIES, INC",JLara,,POSTED,339,-425,-86,
240422-087,If NO - Please Specify,Nothing was done except pictures being taken,Family Dollar 23980,COLUMBUS,OH,2024-05-03 13:46:24,SXX1021,LBR,EML,"DOLLAR TREE STORES, INC",TFarnum,,APPROV,0,-167.39,-167.39,
240503-040,Additional Comments on Work Provided:,Already fixed,Starbucks 22161,KENT,WA,2024-05-03 16:43:46,SXX0025,EBR,SERVIC,STARBUCKS CORPORATION,PYusyavich,District 11,POSTED,443,-104.33,338.67,
240424-140,If NO - Please Specify,I don't  have the exit sign.,LOWES 1942,E RUTHERFORD,NJ,2024-05-10 06:16:14,SXX0022,EBR,SERVIC,LOWES COMPANIES,MValdeigle,District 1,HDRDIS,0,-2452.78,-2452.78,
240320-132,Additional Comments on Work Provided:,Contractors were very fast and worked well with others. Great job.,THE HOME DEPOT 4126,Greensburg,PA,2024-05-16 05:33:40,B240020,ERO,HD467,HOME DEPOT USA,WKnight,District 2,RVWBLL,0,-1425.06,-1425.06,
240116-213,Additional Comments on Work Provided:,No one to sign,RaceTrac 1143,SMYRNA,GA,2024-05-16 20:00:29,B240010,ERO,RT025,Racetrac Petroleum,JHarteau,District 4,DISP,0,-7413.9,-7413.9,
240326-119,If NO - Please Specify,Need to complete 3 cameras,AT&T Brocket,TUCKER,GA,2024-05-28 22:49:45,B240038,ERO,RS005,Remote Security Solutions,JHarteau,,RVWBLL,0,-1610.91,-1610.91,
240423-229,Additional Comments on Work Provided:,SITE PERMINATELY CLOSED,Bank of America MO8-205,Independence,MO,2024-05-01 18:31:05,HXX1600,LRM,GMRLE,Cushman&Wakefield / BOA,BDale,District 8,POSTED,1018.58,-357.57,661.01,
