WorkOrderID,EvalQuestTxt,EvalQuestValTxt,LocationName,City,State,SignDate,JobID,JobCategoryID,ProgramType,CustomerName,PrimaryTechnicianID,DistrictName,WOStatusID,Revenue,Expense,GP
240529-045,Was Contractors Quality of Work Satisfactory?,Yes,LOWES 1670,DELRAN,NJ,2024-05-30 00:26:07,SXX0022,EBR,SERVIC,LOWES COMPANIES,WAlexander,District 1,POSTED,190.7,-137.53,53.17
240529-045,Overall Performance Was:,Excellent,LOWES 1670,DELRAN,NJ,2024-05-30 00:26:07,SXX0022,EBR,SERVIC,LOWES COMPANIES,WAlexander,District 1,POSTED,190.7,-137.53,53.17
240529-045,Did Contractors Clean Up All Work Areas?,Yes,LOWES 1670,DELRAN,NJ,2024-05-30 00:26:07,SXX0022,EBR,SERVIC,LOWES COMPANIES,WAlexander,District 1,POSTED,190.7,-137.53,53.17
240529-045,Did Contractors Employees Cooperate with You?,Yes,LOWES 1670,DELRAN,NJ,2024-05-30 00:26:07,SXX0022,EBR,SERVIC,LOWES COMPANIES,WAlexander,District 1,POSTED,190.7,-137.53,53.17
240516-109,Did Contractors Employees Cooperate with You?,Yes,THE HOME DEPOT 8475,North Bergen,NJ,2024-05-30 00:32:36,SXX1022,LBR,SERVIC,HOME DEPOT USA,AStrutynsk,District 1,HDRDIS,0,-289.2,-289.2
240516-109,Did Contractors Clean Up All Work Areas?,Yes,THE HOME DEPOT 8475,North Bergen,NJ,2024-05-30 00:32:36,SXX1022,LBR,SERVIC,HOME DEPOT USA,AStrutynsk,District 1,HDRDIS,0,-289.2,-289.2
240516-109,Overall Performance Was:,Excellent,THE HOME DEPOT 8475,North Bergen,NJ,2024-05-30 00:32:36,SXX1022,LBR,SERVIC,HOME DEPOT USA,AStrutynsk,District 1,HDRDIS,0,-289.2,-289.2
240516-109,Was Contractors Quality of Work Satisfactory?,Yes,THE HOME DEPOT 8475,North Bergen,NJ,2024-05-30 00:32:36,SXX1022,LBR,SERVIC,HOME DEPOT USA,AStrutynsk,District 1,HDRDIS,0,-289.2,-289.2
240522-265,Was Contractors Quality of Work Satisfactory?,Yes,THE HOME DEPOT 4747,TACOMA,WA,2024-05-30 00:34:16,SXX0025,EBR,HDIBL,HOME DEPOT USA,PYusyavich,District 11,POSTED,174,-132.58,41.42
240522-265,Overall Performance Was:,Excellent,THE HOME DEPOT 4747,TACOMA,WA,2024-05-30 00:34:16,SXX0025,EBR,HDIBL,HOME DEPOT USA,PYusyavich,District 11,POSTED,174,-132.58,41.42
240522-265,Did Contractors Clean Up All Work Areas?,Yes,THE HOME DEPOT 4747,TACOMA,WA,2024-05-30 00:34:16,SXX0025,EBR,HDIBL,HOME DEPOT USA,PYusyavich,District 11,POSTED,174,-132.58,41.42
240422-032,If NO - Please Specify,Need a lift for further testing.,DICKS SPORTING GOODS 1002,Norcross,GA,2024-04-24 13:01:24,SXX0023,EBR,SERVIC,Dick's Sporting Goods,JHarteau,District 4,POSTED,1628.96,-1185.2,443.76
240522-265,Did Contractors Employees Cooperate with You?,Yes,THE HOME DEPOT 4747,TACOMA,WA,2024-05-30 00:34:16,SXX0025,EBR,HDIBL,HOME DEPOT USA,PYusyavich,District 11,POSTED,174,-132.58,41.42
240524-054,Did Contractors Employees Cooperate with You?,Yes,Dave & Buster's 136,FORT MYERS,FL,2024-05-30 01:08:39,SXX0020,EBR,SERVIC,DAVE & BUSTER'S,ESanchez,,HDPRTR,0,-358.02,-358.02
240524-054,Overall Performance Was:,Excellent,Dave & Buster's 136,FORT MYERS,FL,2024-05-30 01:08:39,SXX0020,EBR,SERVIC,DAVE & BUSTER'S,ESanchez,,HDPRTR,0,-358.02,-358.02
240524-054,Did Contractors Clean Up All Work Areas?,Yes,Dave & Buster's 136,FORT MYERS,FL,2024-05-30 01:08:39,SXX0020,EBR,SERVIC,DAVE & BUSTER'S,ESanchez,,HDPRTR,0,-358.02,-358.02
240524-054,Was Contractors Quality of Work Satisfactory?,Yes,Dave & Buster's 136,FORT MYERS,FL,2024-05-30 01:08:39,SXX0020,EBR,SERVIC,DAVE & BUSTER'S,ESanchez,,HDPRTR,0,-358.02,-358.02
240523-200,Was Contractors Quality of Work Satisfactory?,Yes,THE HOME DEPOT 2581,Eldersburg,MD,2024-05-30 02:30:46,B240054,ERO,HD475,HOME DEPOT USA,GSisk,District 2,APPROV,0,-508.8,-508.8
240523-200,Did Contractors Employees Cooperate with You?,Yes,THE HOME DEPOT 2581,Eldersburg,MD,2024-05-30 02:30:46,B240054,ERO,HD475,HOME DEPOT USA,GSisk,District 2,APPROV,0,-508.8,-508.8
240523-200,Did Contractors Clean Up All Work Areas?,Yes,THE HOME DEPOT 2581,Eldersburg,MD,2024-05-30 02:30:46,B240054,ERO,HD475,HOME DEPOT USA,GSisk,District 2,APPROV,0,-508.8,-508.8
240523-200,Overall Performance Was:,Excellent,THE HOME DEPOT 2581,Eldersburg,MD,2024-05-30 02:30:46,B240054,ERO,HD475,HOME DEPOT USA,GSisk,District 2,APPROV,0,-508.8,-508.8
240519-193,Was Contractors Quality of Work Satisfactory?,Yes,THE HOME DEPOT 6539,ALVIN,TX,2024-05-30 02:49:58,SXX0024,EBR,HDIBL,HOME DEPOT USA,RRosales,District 10,POSTED,180.73,-77.51,103.22
240519-193,Did Contractors Clean Up All Work Areas?,Yes,THE HOME DEPOT 6539,ALVIN,TX,2024-05-30 02:49:58,SXX0024,EBR,HDIBL,HOME DEPOT USA,RRosales,District 10,POSTED,180.73,-77.51,103.22
240519-193,Did Contractors Employees Cooperate with You?,Yes,THE HOME DEPOT 6539,ALVIN,TX,2024-05-30 02:49:58,SXX0024,EBR,HDIBL,HOME DEPOT USA,RRosales,District 10,POSTED,180.73,-77.51,103.22
240519-193,Overall Performance Was:,Excellent,THE HOME DEPOT 6539,ALVIN,TX,2024-05-30 02:49:58,SXX0024,EBR,HDIBL,HOME DEPOT USA,RRosales,District 10,POSTED,180.73,-77.51,103.22
240522-121,Was Contractors Quality of Work Satisfactory?,Yes,Sams Club 6256,MEMPHIS,TN,2024-05-30 03:40:04,SXX0023,EBR,WMGEN,Sams Club,STSmith,District 3,PBNTE,0,-8232.89,-8232.89
240522-121,Did Contractors Employees Cooperate with You?,Yes,Sams Club 6256,MEMPHIS,TN,2024-05-30 03:40:04,SXX0023,EBR,WMGEN,Sams Club,STSmith,District 3,PBNTE,0,-8232.89,-8232.89
240522-121,Did Contractors Clean Up All Work Areas?,Yes,Sams Club 6256,MEMPHIS,TN,2024-05-30 03:40:04,SXX0023,EBR,WMGEN,Sams Club,STSmith,District 3,PBNTE,0,-8232.89,-8232.89
240522-121,Overall Performance Was:,Excellent,Sams Club 6256,MEMPHIS,TN,2024-05-30 03:40:04,SXX0023,EBR,WMGEN,Sams Club,STSmith,District 3,PBNTE,0,-8232.89,-8232.89
240320-018,Did Contractors Employees Cooperate with You?,Yes,THE HOME DEPOT 1121,N MYRTLE BCH,SC,2024-05-30 04:12:34,B240049,ERO,HD471,HOME DEPOT USA,RRogers,District 3,RVWBLL,0,-914.03,-914.03
